"O.NET.SOC.Code","Analytical.IM","Category.Flexibility","Deductive.Reasoning","Flexibility.of.Closure","Fluency.of.Ideas","Inductive.Reasoning","Information.Ordering","Mathematical.Reasoning","Memorization","Number.Facility","Oral.Comprehension","Oral.Expression","Originality","Perceptual.Speed","Problem.Sensitivity","Selective.Attention","Spatial.Orientation","Speed.of.Closure","Time.Sharing","Visualization","Written.Comprehension","Written.Expression","y"
"13-2052.00",4.32,3.25,4.5,2.5,3.38,3.88,3.25,3.75,2.12,4.5,4.12,4.62,3,2.62,4,2.5,0,2.5,2.5,1.75,4.12,4.25,1
"13-2053.00",4.57,3.25,3.75,3,2.75,3.88,3.38,2.88,1.88,2.75,3.88,3.88,2.75,2.25,3.75,2.75,0,2,2,2.12,4.25,3.88,1
"13-2061.00",4.64,3.75,4.62,3.25,3.62,4.12,3.88,3.75,3.12,4.12,4.5,4.75,3.5,2.88,4.25,2.88,0,3.25,2.25,2,4.5,4.12,1
"13-2071.00",3.84,3,3.62,2.62,3.5,3.62,3,3.12,2.25,3.12,3.88,4,3.25,2.38,4,2.88,0,2.38,2.5,2.25,3.88,3.88,0
"13-2071.01",3.4,3.12,4,3,3.25,3.62,3.75,3.38,2.62,3.62,4,4,3,2.88,3.62,2.75,0,2.62,2.5,1.75,4,3.75,0
"13-2072.00",4.24,3.12,3.88,2.38,2.25,3.62,3.25,3.38,2.12,3.5,4.12,4.38,2.12,2.12,3.38,2.12,0,2.12,2,1,4,4,1
"13-2081.00",4.38,3,4,3.12,3,3.75,3.25,3.12,2.62,3.75,4.38,4,2.75,2.75,3.12,2.5,0,2.62,2,1.88,4.25,3.5,1
"13-2082.00",3.9,3,3.75,2.88,2.88,3.12,3.12,3.25,2.38,3.62,4,3.88,2.62,2.25,3,2.5,0,2.38,2.25,1.38,3.88,3.12,1
"13-2099.01",4.91,3.62,4.62,3,4,4.75,3.88,4.75,2.38,4.75,4.75,4.38,3.5,2.62,4.12,2.88,0,2.88,1.88,2.25,4.5,4,1
"13-2099.02",4.52,3.62,4.62,3.5,3.75,4.25,3.62,4,2.25,4,4.5,4.88,3.38,2.88,4.75,2.25,0,2.88,2.25,2.62,4.25,3.88,1
"13-2099.04",4.5,3.25,4.12,3.25,3.5,4.12,3.88,3,2.62,2.75,4.25,4,3.12,2.38,3.88,3.12,0,2.38,2.75,2,4.38,4.25,1
"15-1111.00",4.61,4.38,4.88,3.25,4.12,4.62,4.25,4.25,2.88,3.75,4.75,4.75,4.38,3,4.25,3,0,3,2.12,3.62,4.38,4.25,1
"15-1121.00",4.71,3.62,4.25,3.25,4,4.12,3.88,3.62,2.75,3.5,4.5,4.38,3.75,3,4.12,3,0,3.38,2.25,3.62,4.5,4.12,1
"15-1121.01",4.5,4,4.88,3.38,3.88,4.12,4,3,2.88,3,4.75,4.75,3.88,3,4,3,0,2.75,2.62,3.38,4.88,4.38,1
"15-1122.00",4.44,3.62,4.12,3.5,3.75,4.12,3.88,2.88,2.75,2.75,4.25,4.12,3.25,3,4.12,3.12,0,3,2.88,3,4.12,4,1
